title,image,description,tags
"CONEXIONES DE SALUD GLOBAL: ECOSISTEMAS, ANIMALES Y HUMANOS",,"El libro Conexiones de la salud global: ecosistemas, animales y humanos es la fundamentación conceptual y ejemplificación de la interfaz ecosistema-humano-animal, definida esta última como la zona de contacto física y funcional entre tres sistemas independientes: los humanos, los animales (domésticos o silvestres) y el ecosistema. Así, entre las generalidades de este nuevo concepto y su relación con las agrociencias, la epidemiología y la ecología, al igual que entre la conexión de los múltiples sistemas a partir de estudios de caso de patógenos virales, bacterianos y protozoarios, se pretende dar un enfoque aplicado de la interfaz al estudiar diferentes situaciones donde se integra la seguridad alimentaria y la salud pública (ambiental, humana y animal). Todo lo anterior, a fin de aportar a la salud global desde acciones o iniciativas locales y regionales. De este modo, el libro se constituye en un llamado a la colaboración interdisciplinaria y la comunicación entre los diferentes actores responsables del cuidado de la salud de los humanos, animales y el ambiente, tanto natural como modificado por las actividades humanas. Es también un aporte desde América Latina y el Caribe para el entendimiento y el abordaje de los desafíos de la prevención y el control de enfermedades compartidas, las dinámicas ambientales y poblacionales como factores de cambio en la salud y los patrones de enfermedad, las políticas y los sistemas de salud y el diseño, implementación y seguimiento de las estrategias para la promoción de la salud. ",Sustentabilidad
DESARROLLO SOSTENIBEL. UNA OPORTUNIDAD PARA LA VIDA,,"La educación para el desarrollo sostenible es un puente que se une a los ideales de la Carta de la Tierra –una declaración de principios fundamentales para la construcción de una sociedad global justa, sostenible y amante de la paz, y que inspire a todos los pueblos un nuevo sentido de interdependencia y responsabilidad compartida para el bienestar de la familia humana y del mundo en el siglo XXI.
La Resolución 57/254 de la Asamblea General de las Naciones Unidas establece que la protección ambiental, los derechos humanos, el desarrollo humano equitativo y la paz son interdependientes e indivisibles, y brindan un nuevo marco en relación con la forma de pensar acerca de estos temas y de cómo abordarlos.
El objetivo de la asignatura transversal Desarrollo sostenible es que el nuevo profesional promueva “el desarrollo sostenible a partir de su ámbito de aplicación profesional, laboral y social, al comprender la importancia que tiene la interacción hombre naturaleza y los efectos de esta relación en el medio ambiente y el desarrollo socioeconómico de su región”.
Este libro tiene la intención de servir como estímulo para promover discusiones que permitan un intercambio de ideas para avanzar en el desarrollo de modelos de recuperación ambiental para las actividades agrícolas, pecuarias, forestales, industriales, para la urbanización, la minería, entre otras. Asimismo, se trata de concientizar al nuevo profesional de que sus decisiones van más allá de la simple acción de trazar carreteras, construir presas y diques, desarrollar grandes obras de infraestructura o producir elevados volúmenes de productos.",Sustentabilidad
"DIMENSIÓN AMBIENTAL DEL DESARROLLO, LA",,"Hoy en día todas las agendas nacionales e internacionales incluyen “lo ambiental” en sus políticas. No obstante, ante los problemas sociales, económicos e institucionales pendientes de solución, el tema ambiental pierde prioridad frente a lo verdaderamente importante: el respeto y responsabilidad con el medio ambiente.
A partir de una reflexión sobre la problemática ambiental, esta obra ofrece una visión alternativa y práctica de la dimensión ambiental del desarrollo, fundamentada en la comprensión de las complejas relaciones sistémicas existentes entre el hombre y el ecosistema.
Estudiantes e investigadores en desarrollo sostenible, políticas públicas y medio ambiente tienen aquí un útil marco conceptual y metodológico para proponer y liderar proyectos relacionados con el medio ambiente.",Sustentabilidad
ECOLOGÍA. IMPACTO DE LA PROBLEMÁTICA AMBIENTAL ACTUAL SOBRE LA SALUD Y EL AMBIENTE,,"Esta es una obra que propone desarrollar los contenidos básicos de la ecología de ecosistemas y de poblaciones para comprender la problemática ambiental actual y la necesidad de contribuir en el seguimiento y aplicación de los acuerdos internacionales en materia ambiental. A través del curso se describe el origen de los problemas ambientales y su impacto en la salud humana, en la biodiversidad y en el equilibrio de la biósfera en general con el fin de promover una conciencia cívica sobre la importancia del cuidado y protección del entorno natural, así como del consumo sostenible de los recursos.",Sustentabilidad
"ENERGÍAS RENOVABLES, LA UNICA SOLUCIÓN",,"La educación energética en la época actual debe generar en toda las sociedades del mundo una autentica y férrea conciencia y asentados hábitos en torno de la imperiosa necesidad de utilizar racionalmente la energía existente. A la vez, debe inducir a la participación en los esfuerzos que se realizan para producir y utilizar nuevas fuentes de energía. Este libro, por ende, pretende exponer un panorama general de las circunstancias actuales para la generación de energía alterna, limpia, renovable y ecológica en el más puro sentido de la palabra-, para constituirse en una guía necesaria dentro de un entorno de consumo general ciego e irracional. Su objetivo, por tanto, no es primordialmente técnico sino sensibilizadora.",Sustentabilidad
PEDAGOGÍA AMBIENTAL. PARA EL PLANETA EN EMERGENCIA,,"Esa perspectiva educativa que nos presenta el Dr. Zimmermann en este libro requiere que todos los agentes de la educación ambiental sepan que es preciso tomar en cuenta las diferencias particulares de cada persona, de cada grupo y de cada institución. Cabe preguntarnos aquí si nuestra evolución nos habrá dotado de la requerida conciencia y sensibilidad para comportarnos responsablemente con la totalidad del sistema biológico al cual pertenecemos. Queda abierta la tarea de analizar si tenemos la requerida inteligencia ecológica para que la vida, y nosotros como una parte suya, podamos sobrevivir en condiciones de la necesaria calidad de vida Prof. Dr. J.A. Sánchez (2013)",Sustentabilidad
ECOLOGÍA Y MEDIO AMBIENTE,,"Entre los cambios introducidos recientemente en el bachillerato para ajustar este nivel educativo a las exigencias de un mundo cada vez más interconectado y en transformación constante, destaca la actualización tanto de los programas de estudio como del conjunto de competencias plasmado en el Marco Curricular Común (MCC). Por añadidura, las experiencias en el aula de miles de docentes han sido sustento para enriquecer los programas de estudio del bachillerato general, a fin de ayudar a los jóvenes a superar los retos planteados por la sociedad actual. Frente a ello, la tercera edición de Ecología y medio ambiente propone a los estudiantes que vivan el aprendizaje, es decir, que aprendan mientras dan sentido a lo aprendido y, en paralelo, desarrollen diversas habilidades. En suma, este es un libro en consonancia con los nuevos enfoques educativos, basado en los nuevos programas de estudio y en un MCC renovado, con énfasis en el desarrollo integral de los estudiantes.",Sustentabilidad
QUÍMICA. SU IMPACTO EN LA SALUD Y EL MEDIOAMBIENTE,,"Esta es una obra que propone desarrollar los contenidos básicos del curso de química general, mostrando su relación con los aspectos de la salud humana y la sostenibilidad del ambiente. Para esto, se desarrollan cuatro grandes temas:
 • Módulo 1. Química: la ciencia de las sustancias. 
• Módulo 2. Identidad y transformación de las sustancias. 
• Módulo 3. Gases y disoluciones. 
• Módulo 4. Química del carbono. 
En cada uno de los cuatro módulos se incluyen ejemplos y ejercicios de aplicación, lecturas sobre avances de la ciencia y la tecnología y su impacto en la salud y el ambiente (CTSA), cuatro talleres de aprendizaje cooperativo y una evaluación que promueve el manejo apropiado de conceptos, así como las competencias de indagación, manejo de diferentes fuentes de información, argumentación y, comunicación oral y escrita.",Sustentabilidad
USO Y REPRESENTACIÓN DEL AGUA EN LA COSTA DEL GOLFO,,"La Costa del Golfo fue un área de gran relevancia para la conformación política, económica y cultural de la Mesoamérica precolombina. Hasta el día de hoy se caracteriza por contar con una amplia diversidad de recursos naturales y de entornos acuáticos que desde siempre han permitido el asentamiento y el desarrollo de numerosos y variados grupos humanos.
En este sentido, el agua fue uno de los elementos centrales en la vida de los grupos sociales a los que los arqueólogos, iconografistas e historiadores dedican su estudio. Resulta necesario e importante, por lo tanto, reflexionar y revaluar cuestionamientos, así como construir nuevas rutas teóricas y metodológicas para conocer la relación que las sociedades que habitaron la Costa del Golfo establecieron con este recurso vital. Este libro es un esfuerzo colectivo por reflexionar la vida mesoamericana de la Costa del Golfo desde otra perspectiva, más acorde con el paisaje que la representa: la abundancia de agua, su uso, su administración y el control que se ejercía a partir de ella en la época prehispánica.
Los cuarenta participantes son connotados investigadores de veinte instituciones nacionales y extranjeras que dedican sus estudios a la arqueología e iconografía, en particular a la veracruzana, Sin duda las reflexiones, las propuestas y los puntos de vista vertidos en esta obra marcarán la pauta para redefinir la manera como se observa el área de estudio y conformarán el eje temático de las investigaciones que habrán de llevar a cabo las nuevas generaciones.",Sustentabilidad
AGENDA AMBIENTAL 2018 DIAGNOSTICO Y PROPUESTAS,,"Este documento es un trabajo propositivo. Compromete y corresponsabiliza al sector académico y a la sociedad civil organizada a ser proactivos en la construcción de las políticas seguimiento y ajuste.
Ante los inminentes cambios en los gobiernos federal, estatal y municipal durante el presente año, es necesario como nunca poner sobre la mesa una gama de opiniones calificadas sobre temas ambientales prioritarios.
Buscamos, en última instancia, motivar a los actores políticos y a la sociedad a la construcción conjunta de políticas socio-ambientales que reconozcan la heterogeneidad del país y que se les otorgue la debida relevancia a los temas de salud, igualdad de acceso a los recursos y la atención a los derechos sociales bajo un esquema que adopte como eje el avance en la equidad y la sostenibilidad.",Sustentabilidad
