title,image,description,tags
AGUA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/Agua.jpg,"La mayor parte de nuestro planeta está cubierto de agua, la cual es esencial para todos los seres vivos. ¿Qué sabemos sobre el agua? Explora la manera en que el agua transforma nuestro mundo y cómo la usamos diariamente. Investiga el agua y su relación con el clima, mientras formas una nube en un frasco. Crea un estanque miniatura en tu jardín. Tierra fantástica alienta a los niños a conectarse con el mundo que los rodea y a descubrirlo.",Sustentabilidad|Medio Ambiente
ÁRBOLES,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/arboles.jpg,Los árboles son una parte esencial en nuestro planeta. ¿Qué sabemos sobre ellos? Explora cómo nos benefician y de qué están hechos. Investiga la edad de un árbol y descubre cuál es el más viejo del mundo. Crea un colorido árbol utilizando diferentes tipos de hojas. Tierra fantástica alienta a los niños a conectarse con el mundo que los rodea y a descubrirlo.,Sustentabilidad|Medio Ambiente
"MEDIO AMBIENTE, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/Elmedioambiente.jpg,"El aire, el suelo, el agua, las plantas y los animales conforman nuestro medioambiente; pero ¿te has puesto a pensar qué podemos hacer para preservarlo? Explora... las diversas acciones para cuidar nuestro planeta. Investiga... el problema de la contaminación y cómo solucionarlo. Crea... un microhábitat para dar un hogar a algunas especies de vida silvestre. Tierra fantástica alienta a los niños a conectarse con el mundo que los rodea y a descubrirlo.",Sustentabilidad|Medio Ambiente
"CLIMA EN CAOS, UN",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/unclimaencaos.jpg,El libro perfecto para explicar a los niños pequeños el cambio climático y prepararlos para ayudar a marcar la diferencia. Cressida Cowell. El clima está cambiando y la Tierra necesita tu ayuda. La temperatura de nuestro planeta está en aumento y ese es un gran problema. ¡Pero la buena noticia es que podemos hacer algo al respecto! Descubre todo lo que necesitas saber del calentamiento global en esta guía fácil de entender acerca del cambio climático. Descubre qué cosas brillantes han hecho los científicos y los jóvenes para salvar el planeta y de qué manera puedes ayudar. Así que prepárate: ¡es hora de que todos hagamos del planeta Tierra un lugar mejor!,Sustentabilidad|Medio Ambiente
"PLANETA LLENO DE PLÁSTICO, UN",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/unplanetallenode.jpg,"El plástico está en todos lados y su acumulación daña al planeta Tierra. Desde los animales que lo confunden con comida hasta los ríos que se saturan con él, el molesto plástico causa todo tipo de problemas a nuestro planeta. ¡Pero la buena noticia es que podemos hacer algo al respecto! Descubre toda la información sobre el problema del plástico y entérate de las ingeniosas ideas que tratan de solucionarlo. después prepárate: ¡mejorar la situación depende de todos nosotros!",Sustentabilidad|Medio Ambiente
EN PELIGRO DE EXTINCIÓN,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/enpeligrodeextincion.jpg,"Tigres, orangutanes, pangolines, osos polares, rorcuales, abejas... tantos animales que se encuentran en peligro de extinción. Realiza un viaje alrededor del mundo para conocer a 38 de las criaturas más extraordinarias del planeta. Visita selvas, montañas, ríos, arrecifes de coral y conoce los esfuerzos de conservación que se realizan para salvarlas.",Sustentabilidad|Ecología
"SALTO DE LA RANA, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/elsaltoderana.jpg,"Un nuevo libro del sello Ecosfera para ayudar a los jóvenes lectores a entender por qué la Tierra se está calentando y qué podemos hacer al respecto. Por analogía, se utiliza a menudo el concepto del síndrome de la rana hervida para describir lo que ocurre cuando un problema se desarrolla tan lentamente que sus consecuencias no se perciben fácilmente de forma inmediata y esta falta de conciencia da lugar a reacciones tardías o nulas a la hora de prevenir o invertir el daño que causa. La autora, Teresa Franquesa, propone que demos un salto esperanzador hacia un futuro mejor.",Sustentabilidad|Ecología
SALVANDO LA TIERRA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/salvandolatierra.jpg,"Mira más de cerca el calentamiento global y descubre cómo afecta al mundo que nos rodea. En este libro exploramos a detalle la cambiante Tierra a través de 100 hechos, con impresionantes imágenes y divertidas ilustraciones. Entenderás por qué las actividades humanas provocan el cambio climático; aprenderás cómo puedes salvar animales en peligro; y descubrirás las soluciones científicas del futuro.",Sustentabilidad|Ecología
JACINTA Y LAS BOLSAS DE PLÁSTICO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/jacinta.png,"Jacinta se da cuenta de que algo anda mal cuando descubre que una plaga empieza a invadir toda su casa. Sus papás, alarmados, comienzan a buscar una solución. ¿Cómo evitarán que la plaga se convierta en un gran problema? Juntos deciden hacer un pequeño cambio que todos deberíamos imitar.",Literatura infantil|Sustentabilidad
AVES. ¡CÓNOCELAS DE CERCA!,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/aves.png,"¿Sabías que existen alrededor de 9,200 especies de aves distribuidas en todo el planeta? Si deseas poner a volar tu imaginación y conocer algunas de las variedades que viven en tu país, te invitamos a leer las historias de este libro, basadas en el comportamiento real de las aves. Ahora bien, si quieres observarlas con detenimiento, sigue las sencillas instrucciones para construir un bebedero. Así podrás ¡conocerlas de cerca!",Sustentabilidad|Ecología
ECOHEROE. 23 IDEAS CREATIVAS PARA SALVAR AL MUNDO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/ecohéroe.jpg,"En este libro encontrarás ideas, con ilustraciones detalladas, para niños como tú: deseosos de reciclar, reusar y contribuir al cuidado del medio ambiente. Con una mezcla de proyectos simples y desafiantes puedes aprender a crear objetos nuevos a partir de materiales de desecho, hacer que tu casa sea más amigable con el entorno, y convertir cualquier espacio exterior en un refugio de vida silvestre.",Sustentabilidad|Ecología
UNA VUELTA POR EL PLANETA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/unavuelta.jpg,"Necesitamos ríos más limpios, ciudades sin humo y bosques repletos de vida. ¡Démosle una vuelta y encontraremos soluciones! Se puede hacer mucho por el medioambiente, si todos aportamos nuestro granito de arena. Un libro de todo cartón con piezas de puzle para concienciar sobre los problemas medioambientales.",Sustentabilidad|Ecología
ANIMALES QUE PROTEGER,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/animalesqueproteger.jpg,"Un nuevo título de la colección para sensibilizar a los más pequeños y responder a sus preguntas sobre las especies en peligro de extinción; desde los animales más cercanos, como las abejas, hasta los animales salvajes, como los tigres, los pandas o las ballenas. Un libro para amar a la naturaleza ¡y descubrirla con las yemas de los dedo",Sustentabilidad|Ecología
