title,image,description,tags
AGUA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/Agua.jpg,"La mayor parte de nuestro planeta está cubierto de agua, la cual es esencial para todos los seres vivos. ¿Qué sabemos sobre el agua? Explora la manera en que el agua transforma nuestro mundo y cómo la usamos diariamente. Investiga el agua y su relación con el clima, mientras formas una nube en un frasco. Crea un estanque miniatura en tu jardín. Tierra fantástica alienta a los niños a conectarse con el mundo que los rodea y a descubrirlo.",Sustentabilidad|Medio Ambiente
ÁRBOLES,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/arboles.jpg,Los árboles son una parte esencial en nuestro planeta. ¿Qué sabemos sobre ellos? Explora cómo nos benefician y de qué están hechos. Investiga la edad de un árbol y descubre cuál es el más viejo del mundo. Crea un colorido árbol utilizando diferentes tipos de hojas. Tierra fantástica alienta a los niños a conectarse con el mundo que los rodea y a descubrirlo.,Sustentabilidad|Medio Ambiente
"MEDIO AMBIENTE, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/Elmedioambiente.jpg,"El aire, el suelo, el agua, las plantas y los animales conforman nuestro medioambiente; pero ¿te has puesto a pensar qué podemos hacer para preservarlo? Explora... las diversas acciones para cuidar nuestro planeta. Investiga... el problema de la contaminación y cómo solucionarlo. Crea... un microhábitat para dar un hogar a algunas especies de vida silvestre. Tierra fantástica alienta a los niños a conectarse con el mundo que los rodea y a descubrirlo.",Sustentabilidad|Medio Ambiente
ROBOTS,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/robot.jpg,"Los robots son una parte importante de la vida diaria, están a nuestro alrededor, en nuestros hogares, trabajos, hospitales y hasta en el espacio. ¿Qué sabemos sobre los robots? Explora la importancia de los robots y cómo influyen en nuestra vida. Investiga cómo siguen instrucciones y realizan tareas. Crea un minirobot para descubrir la mecánica detrás de estas increíbles máquinas. Tierra fantástica alienta a los niños a conectarse con el mundo que los rodea y a descubrirlo.",Ciencia|Tecnología
VIENTO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/viento.jpg,El viento es un elemento importante en nuestro planeta. ¿Qué sabemos sobre él? Explora cómo el viento moldea nuestro mundo y cómo los humanos hemos aprendido a utilizarlo. Investiga cómo trabaja el viento en la naturaleza y cómo lo usamos en nuestra vida diaria. Crea tu propio velero y aprende a volar un papalote. Tierra fantástica alienta a los niños a conectarse con el mundo que los rodea y a descubrirlo.,Sustentabilidad|Medio Ambiente
"CLIMA EN CAOS, UN",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/unclimaencaos.jpg,El libro perfecto para explicar a los niños pequeños el cambio climático y prepararlos para ayudar a marcar la diferencia. Cressida Cowell. El clima está cambiando y la Tierra necesita tu ayuda. La temperatura de nuestro planeta está en aumento y ese es un gran problema. ¡Pero la buena noticia es que podemos hacer algo al respecto! Descubre todo lo que necesitas saber del calentamiento global en esta guía fácil de entender acerca del cambio climático. Descubre qué cosas brillantes han hecho los científicos y los jóvenes para salvar el planeta y de qué manera puedes ayudar. Así que prepárate: ¡es hora de que todos hagamos del planeta Tierra un lugar mejor!,Sustentabilidad|Medio Ambiente
¡MICROBIOS!,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/microbios.jpg,"Estos pequeños organismos, que solo pueden verse bajo el microscopio, están en todos lados. De hecho, viven dentro de nuestros cuerpos, viajan al espacio exterior y nadan en los océanos del mundo. Aunque algunos pueden enfermarnos, la mayoría nos mantiene sanos e, incluso, ayudan a conservar nuestro planeta feliz y saludable. Adéntrate al increíble mundo de los microbios en este fascinante libro ilustrado acerca de la vida en miniatura que nos rodea.",Ciencia|Bilogía
"PLANETA LLENO DE PLÁSTICO, UN",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/unplanetallenode.jpg,"El plástico está en todos lados y su acumulación daña al planeta Tierra. Desde los animales que lo confunden con comida hasta los ríos que se saturan con él, el molesto plástico causa todo tipo de problemas a nuestro planeta. ¡Pero la buena noticia es que podemos hacer algo al respecto! Descubre toda la información sobre el problema del plástico y entérate de las ingeniosas ideas que tratan de solucionarlo. después prepárate: ¡mejorar la situación depende de todos nosotros!",Sustentabilidad|Medio Ambiente
ESTRELLAS,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/estrellas.jpg,"A Daisy le encantan las estrellas, pero no son lo que parecen. El abuelo les enseña a los gemelos todo sobre ellas en su nueva misión. Únete al abuelo, a Daisy y a Dan mientras exploran la galaxia, esta vez, sin su confiable nave espacial o el gran telescopio rojo.",Ciencia|Astronomía
LUNA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/luna.jpg,"¡Es hora de que los gemelos tengan su próxima gran aventura espacial con el abuelo! Esta vez aprenderán todo sobre la Luna. Únete a Daisy y a Dan mientras abordan su nave espacial, y se preparan para explorar con el abuelo y su telescopio rojo.",Ciencia|Astronomía
SOL,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/sol.jpg,"¡Es momento de que los gemelos realicen la misión más grande explorando el espacio! Esta vez, están aprendiendo sobre el Sol. Únete al abuelo, a Daisy y a Dan mientras descubren el origen y la belleza de la mayor estrella de la Vía Láctea.",Ciencia|Astronomía
TIERRA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/tierra.jpg,"A los gemelos, Daisy y Dan, les encanta visitar a su abuelo, ¡pero lo que más les emociona es ver su nuevo telescopio! Únete a los gemelos y conviértete en un explorador del espacio, vuela a través del cielo y aprende todo sobre la Tierra, la Luna, las estrellas y el Sol.",Ciencia|Astronomía
EN PELIGRO DE EXTINCIÓN,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/enpeligrodeextincion.jpg,"Tigres, orangutanes, pangolines, osos polares, rorcuales, abejas... tantos animales que se encuentran en peligro de extinción. Realiza un viaje alrededor del mundo para conocer a 38 de las criaturas más extraordinarias del planeta. Visita selvas, montañas, ríos, arrecifes de coral y conoce los esfuerzos de conservación que se realizan para salvarlas.",Sustentabilidad|Ecología
"SALTO DE LA RANA, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/elsaltoderana.jpg,"Un nuevo libro del sello Ecosfera para ayudar a los jóvenes lectores a entender por qué la Tierra se está calentando y qué podemos hacer al respecto. Por analogía, se utiliza a menudo el concepto del síndrome de la rana hervida para describir lo que ocurre cuando un problema se desarrolla tan lentamente que sus consecuencias no se perciben fácilmente de forma inmediata y esta falta de conciencia da lugar a reacciones tardías o nulas a la hora de prevenir o invertir el daño que causa. La autora, Teresa Franquesa, propone que demos un salto esperanzador hacia un futuro mejor.",Sustentabilidad|Ecología
SALVANDO LA TIERRA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/salvandolatierra.jpg,"Mira más de cerca el calentamiento global y descubre cómo afecta al mundo que nos rodea. En este libro exploramos a detalle la cambiante Tierra a través de 100 hechos, con impresionantes imágenes y divertidas ilustraciones. Entenderás por qué las actividades humanas provocan el cambio climático; aprenderás cómo puedes salvar animales en peligro; y descubrirás las soluciones científicas del futuro.",Sustentabilidad|Ecología
NÚMEROS,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/numeros.jpg,"Uno, dos, tres… nueveglobos y ¡sorpresa! Este libro, impreso en plateado, con imágenes en relieve y el texto en braille, puede ser compartido por los que ven con los ojos y aquellos que ""ven"" con los dedos.",Literatura infantil|Inclusión
EMOCIONES DE UNA LÍNEA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/emociones%20de%20una%20linea.png,"Una exploración de una de las formas básicas de la imagen: la línea. A través de ella se pueden expresar diversas emociones: alegría, tristeza, enojo. Para constatarlo, basta cerrar los ojos y pasar los dedos sobre las imágenes en relieve y el texto en Braille.",Literatura infantil|Inclusión
CRIATURAS VISTAS O SOÑADAS. ADIVINANZAS,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/criaturascistas.png,"En este libro encontrarás adivinanzas acerca de muchas criaturas, algunas vistas y otras no tanto. Se presentan como haikús, forma poética japonesa muy breve, de sólo tres líneas. La última palabra de cada poema rimará siempre con el nombre del animal o ser aludido. Con esa ayuda quizás te sea más fácil resolver las adivinanzas.",Literatura infantil|Acertijos
"AJOLOTE DE XOCHIMILCO, EL",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/xochimilco.png,"Textos escritos de manera rítmica con imágenes que describen el origen mítico de los ajolotes, sus extraordinarias características físicas, así como los riesgos que enfrentan para sobrevivir entre chinampas y flores como especie endémica. Libro que contiene creativas ilustraciones llenas de colorido y humor.",Literatura infantil
JACINTA Y LAS BOLSAS DE PLÁSTICO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/jacinta.png,"Jacinta se da cuenta de que algo anda mal cuando descubre que una plaga empieza a invadir toda su casa. Sus papás, alarmados, comienzan a buscar una solución. ¿Cómo evitarán que la plaga se convierta en un gran problema? Juntos deciden hacer un pequeño cambio que todos deberíamos imitar.",Literatura infantil|Sustentabilidad
EJERCICIO Y JUEGO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/ejerciciosyjuego.jpg,"¿Sabías que mientras más activo eres, más energía tienes? Puedes divertirte mucho al ponerte en forma, jugar con tus amigos y hacer deporte. Desde saltar el trampolín y hacer yoga, hasta las artes marciales y la gimnasia, descubre diferentes maneras de mantenerte saludable.",Hábitos saludables
SANO Y SALVO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/sanoysalvo.jpg,"El mundo está lleno de lugares emocionantes para explorar y gente que conocer, pero no siempre es seguro. Aprender a tener cuidado en casa, en las calles y en internet permitirá que explores tu mundo de una manera segura. Desde privacidad corporal y bullying, hasta qué hacer durante una emergencia o a quién pedir ayuda en caso de extraviarte, descubre cómo mantenerte sano y salvo.",Hábitos saludables
CUIDADO Y LIMPIEZA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/cuidadoylimpieza.jpg,"Mantenerte aseado es una forma de ayudarte a seguir saludable. Te ves mejor y te sientes bien con tu cuerpo cuando te cuidas. Cuidar y mantener limpio tu cuerpo es importante para protegerte de los gérmenes. Desde cepillar los dientes y el cabello, hasta lavarte las manos y asear tu cuarto, descubre diferentes maneras de mantenerte saludable.",Hábitos saludables
BUENA ALIMENTACIÓN,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/buenaalimentación.jpg,"Comer adecuadamente y tener una dieta balanceada le ayuda a tu cuerpo a pensar, crecer y moverse. Lo que comes también influye en tu bienestar físico y mental. Desde la pasta y arroz, hasta plátanos y zanahorias, hay muchos tipos de alimentos saludables. Conoce los grupos alimenticios te ayudará a aprender mejor y a tener más energía",Hábitos saludables
DESCANSO Y SUEÑO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/descansoysueño.jpg,"Dormir es una parte importante de la vida diaria. Mientras duermes, tu cuerpo tiene tiempo de repararse y dejar que tus músculos y cerebro descansen. Aprenda sobre las cinco etapas del sueño y lo que puedes hacer si te cuesta trabajo dormir. Descubre por qué descansar es importante, y cómo el yoga y la meditación ayudan a relajarte.",Hábitos saludables
AVES. ¡CÓNOCELAS DE CERCA!,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/aves.png,"¿Sabías que existen alrededor de 9,200 especies de aves distribuidas en todo el planeta? Si deseas poner a volar tu imaginación y conocer algunas de las variedades que viven en tu país, te invitamos a leer las historias de este libro, basadas en el comportamiento real de las aves. Ahora bien, si quieres observarlas con detenimiento, sigue las sencillas instrucciones para construir un bebedero. Así podrás ¡conocerlas de cerca!",Sustentabilidad|Ecología
"FLOR AZUL, LA",https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/laflorazul.jpg,"A partir del diálogo entre una niña y una flor, Antonio Skármeta elabora una delicada fábula acerca de la belleza y su permanencia en el mundo. Las ilustraciones de Mariona Cabassa interpretan con notable sensibilidad las emociones y vivencias de los protagonistas, ofreciendo uno de sus trabajos más notables y profundos. «Daniela salió al jardín y cuando la luna llena llegó era tan grande la flor que se recostó en ella».",Ecología y Medio Ambiente
ECOHEROE. 23 IDEAS CREATIVAS PARA SALVAR AL MUNDO,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/ecohéroe.jpg,"En este libro encontrarás ideas, con ilustraciones detalladas, para niños como tú: deseosos de reciclar, reusar y contribuir al cuidado del medio ambiente. Con una mezcla de proyectos simples y desafiantes puedes aprender a crear objetos nuevos a partir de materiales de desecho, hacer que tu casa sea más amigable con el entorno, y convertir cualquier espacio exterior en un refugio de vida silvestre.",Sustentabilidad|Ecología
UNA VUELTA POR EL PLANETA,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/unavuelta.jpg,"Necesitamos ríos más limpios, ciudades sin humo y bosques repletos de vida. ¡Démosle una vuelta y encontraremos soluciones! Se puede hacer mucho por el medioambiente, si todos aportamos nuestro granito de arena. Un libro de todo cartón con piezas de puzle para concienciar sobre los problemas medioambientales.",Sustentabilidad|Ecología
ANIMALES QUE PROTEGER,https://raw.githubusercontent.com/tecnologia-Paktli/Sostenibility_books/main/Ludoteca/animalesqueproteger.jpg,"Un nuevo título de la colección para sensibilizar a los más pequeños y responder a sus preguntas sobre las especies en peligro de extinción; desde los animales más cercanos, como las abejas, hasta los animales salvajes, como los tigres, los pandas o las ballenas. Un libro para amar a la naturaleza ¡y descubrirla con las yemas de los dedo",Sustentabilidad|Ecología
